di_id,name,change_percent,change_numeric,buy,sell,latest,high,low,volume,time,list
4560514,Nyfosa,0.9,0.75,84.35,84.55,84.55,85.7,83.9,246472,17:29,Large Cap
4576157,Lime Technologies,5.27,20,397,398.5,399.5,400,374.5,33120,17:29,Mid Cap
4577128,Q-Linea AB,1.48,2,136.5,137,137,145.5,135,14477,17:29,Mid Cap
4591034,SBB Norden D,0.34,0.1,29.4,29.45,29.4,29.55,29.1,939154,17:29,Large Cap
4751818,Ascelia Pharma,-0.34,-0.15,43.2,43.8,43.75,45.5,43,39737,17:29,Small Cap
4794077,NENT Group A,2,8,406,420,408,408,406,257,17:29,Large Cap
4794078,NENT Group B,2.55,10.2,409.4,409.6,410.6,410.6,393.8,137275,17:37,Large Cap
4795178,Gaming Innovation Group,5.75,1.09,20.25,20.4,20.05,20.4,19,330593,17:29,Small Cap
4814374,Karnov Group,0.7,0.35,50.2,50.5,50.2,50.6,49.85,11349,17:29,Mid Cap
4887269,John Mattson,0.85,1.2,139,140.4,142,142,138,2012,17:29,Mid Cap
4913119,K2A Knaust & Andersson..,0,0,203,205,205,216,198.5,26263,17:29,Mid Cap
4926296,TRATON SE,-1.14,-2.95,255.3,255.75,255.5,259.35,253,48820,17:29,Large Cap
4929065,Adapteo,1.12,1.2,106.4,107.2,108.8,108.8,105.2,23749,17:29,Mid Cap
5028561,EQT,1.43,3.4,241,241.4,241,241.7,233.7,576994,17:29,Large Cap
5109519,K-Fast Holding B,-2.27,-6,257.4,258.6,258,263,254,13954,17:29,Mid Cap
5122427,Fastpartner D,0.5,0.4,79.8,80,79.8,80,79.4,12006,17:29,Large Cap
5297169,Electrolux Professional B,-0.18,-0.09,49.41,49.6,49.7,50.26,49,487589,17:29,Large Cap
5485495,Genova Property Group,-0.56,-0.45,79.15,79.5,79.5,79.5,77.05,149885,17:29,Mid Cap
5589710,Readly International,1.76,1.04,60.2,60.6,60.3,62.98,58.8,243831,17:29,Mid Cap
5617087,Qliro,0.75,0.35,47.1,47.4,47.35,48,46.5,33547,17:29,Small Cap
5633399,Wästbygg,-0.49,-0.5,101,101.2,101,101.9,100.8,5307,17:29,Mid Cap
5642918,Nordic Paper Holding AB,-0.92,-0.42,45.36,45.48,45.48,45.9,45.2,25736,17:29,Mid Cap
5650425,Eniro Pref A,2.19,0.02,0.77,0.79,0.8,0.8,0.75,1980244,17:29,Small Cap
5689405,Nordnet,-1.02,-1.55,149.85,150.15,150.5,152,148.1,365443,17:29,Large Cap
5707080,Fasadgruppen,2.56,3,117,117.2,120,121,114.8,64030,17:29,Mid Cap
5710344,Annehem Fastigheter B,-2.99,-0.85,27.7,27.85,27.6,28.4,27.6,92722,17:29,Mid Cap
5815210,Cint Group,-0.75,-0.6,79,79.2,79.6,80.4,77.8,304894,17:29,Large Cap
